,,,,,,,,,,,,,,,,,,,,,,,,,,
,空売り残高に関する情報,,,,,,,,,,,,,,,,,,,,,,,,,
,Information on Outstanding Short Selling Positions,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"公表年月日
Date of Disclosure",2019/04/26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,計算年月日,銘柄コード,"銘柄名
（日本語／英語）",,商号・名称・氏名,住所・所在地,委託者・投資一任契約の相手方の商号・名称・氏名,委託者・投資一任契約の相手方の住所・所在地,信託財産・運用財産の名称,空売り残高割合,空売り残高数量,空売り残高売買単位数,直近計算年月日,直近空売り残高割合,備考,,,,,,,,,,,
,Date of Calculation,Code of Stock,"Name of Stock
(Japanese / English)",,Name of Short Seller,Address of Short Seller,Name of Discretionary Investment Contractor ,Address of Discretionary Investment Contractor,Name of Investment Fund,Ratio of Short Positions to Shares Outstanding,Number of Short Positions in Shares,Number of Short Positions in Trading Units,Date of Calculation in Previous Reporting,Ratio of Short Positions in Previous Reporting ,Notes,,,,,,,,,,,
,2019/04/24,2352 ,エイジア　普通株式,"AZIA CO.,LTD.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.93%,"41,400 ",414 ,2019/04/19,0.84%,,,,,,,,,,,,
,2019/04/25,2371 ,カカクコム　普通株式,"Kakaku.com,Inc.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.58%,"3,323,700 ","33,237 ",2019/04/24,1.60%,,,,,,,,,,,,
,2019/04/24,2372 ,アイロムグループ　普通株式,"I'rom Group Co.,Ltd.",UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.98%,"115,740 ","1,157 ",2019/04/23,1.09%,,,,,,,,,,,,
,2019/04/24,2379 ,ディップ　普通株式,DIP corporation,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.55%,"346,768 ","3,467 ",2019/04/23,0.59%,,,,,,,,,,,,
,2019/04/24,2379 ,ディップ　普通株式,DIP corporation,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.65%,"404,800 ","4,048 ",2019/04/18,0.52%,,,,,,,,,,,,
,2019/04/24,2395 ,新日本科学　普通株式,"SHIN NIPPON BIOMEDICAL LABORATORIES,LTD.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.91%,"380,611 ","3,806 ",2019/04/22,0.86%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,2397 ,ＤＮＡチップ研究所　普通株式,DNA Chip Research Inc.,Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.90%,"46,100 ",461 ,2019/04/22,1.07%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,2427 ,アウトソーシング　普通株式,OUTSOURCING Inc.,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.87%,"1,102,117 ","11,021 ",2019/04/23,0.89%,,,,,,,,,,,,
,2019/04/24,2427 ,アウトソーシング　普通株式,OUTSOURCING Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.79%,"1,001,500 ","10,015 ",2019/04/16,0.87%,,,,,,,,,,,,
,2019/04/24,2436 ,共同ピーアール　普通株式,"KYODO PUBLIC RELATIONS CO.,LTD.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,2.87%,"117,400 ","1,174 ",2019/04/22,2.95%,,,,,,,,,,,,
,2019/04/24,2440 ,ぐるなび　普通株式,"Gurunavi,Inc.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.54%,"263,164 ","2,631 ",2019/04/11,0.44%,,,,,,,,,,,,
,2019/04/24,2479 ,ジェイテック　普通株式,JTEC CORPORATION,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,2.75%,"236,500 ","2,365 ",2019/04/19,2.80%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/25,2479 ,ジェイテック　普通株式,JTEC CORPORATION,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.56%,"48,700 ",487 ,2019/04/24,0.69%,,,,,,,,,,,,
,2019/04/24,2489 ,アドウェイズ　普通株式,Adways Inc.,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,1.02%,"425,900 ","4,259 ",2019/04/23,0.96%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,2489 ,アドウェイズ　普通株式,Adways Inc.,Integrated Core Strategies (Asia) Pte. Ltd.,"80 Raffles Place, #14-20 UOB Plaza 2, Singapore 048624",,,,1.05%,"439,500 ","4,395 ",2019/03/19,0.90%,,,,,,,,,,,,
,2019/04/24,2489 ,アドウェイズ　普通株式,Adways Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.09%,"457,300 ","4,573 ",2019/04/22,1.10%,,,,,,,,,,,,
,2019/04/25,2497 ,ユナイテッド　普通株式,"UNITED,Inc.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.62%,"147,649 ","1,476 ",2019/04/24,0.58%,,,,,,,,,,,,
,2019/04/24,2651 ,ローソン　普通株式,"Lawson,Inc.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.66%,"666,442 ","6,664 ",2019/04/23,0.67%,,,,,,,,,,,,
,2019/04/24,2667 ,イメージ　ワン　普通株式,"ImageONE Co.,Ltd.",Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,1.25%,"83,700 ",837 ,2019/04/23,1.33%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,2667 ,イメージ　ワン　普通株式,"ImageONE Co.,Ltd.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,1.14%,"76,300 ",763 ,2019/04/22,1.04%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,2667 ,イメージ　ワン　普通株式,"ImageONE Co.,Ltd.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,4.45%,"297,600 ","2,976 ",2019/04/22,4.31%,,,,,,,,,,,,
,2019/04/24,2667 ,イメージ　ワン　普通株式,"ImageONE Co.,Ltd.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.99%,"66,200 ",662 ,2019/04/23,1.41%,,,,,,,,,,,,
,2019/04/25,2667 ,イメージ　ワン　普通株式,"ImageONE Co.,Ltd.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,3.06%,"205,000 ","2,050 ",2019/04/24,3.11%,,,,,,,,,,,,
